Date,Time,Category,Name,Notes,Expense,Income,Flag,Year,YearMonth,YearWeek,Weekday,Hour,CalendarMonth,CalendarWeek,CalendarWeekday,Transaction
2018-01-08,00:00:00.0,Food,,,,,Expense,2018,January 2018,Week 2 2018,Monday,0,January,Week 2,Monday2,0.0
2018-01-08,00:00:00.0,Public Transport,,,,,Expense,2018,January 2018,Week 2 2018,Monday,0,January,Week 2,Monday2,0.0
2018-01-08,00:00:00.0,Rent,,,,,Expense,2018,January 2018,Week 2 2018,Monday,0,January,Week 2,Monday2,0.0
2018-01-08,00:00:00.0,Utilities,,,,,Expense,2018,January 2018,Week 2 2018,Monday,0,January,Week 2,Monday2,0.0
2018-01-08,00:00:00.0,Clothing,,,,,Expense,2018,January 2018,Week 2 2018,Monday,0,January,Week 2,Monday2,0.0
2018-01-08,00:00:00.0,Holiday,,,,,Expense,2018,January 2018,Week 2 2018,Monday,0,January,Week 2,Monday2,0.0
2018-01-08,00:00:00.0,Technology,,,,,Expense,2018,January 2018,Week 2 2018,Monday,0,January,Week 2,Monday2,0.0
2018-01-08,00:00:00.0,Salary,,,,,Income,2018,January 2018,Week 2 2018,Monday,0,January,Week 2,Monday2,0.0
2018-01-08,00:00:00.0,Dividends,,,,,Income,2018,January 2018,Week 2 2018,Monday,0,January,Week 2,Monday2,0.0
2018-01-08,00:00:00.0,Gifts,,,,,Income,2018,January 2018,Week 2 2018,Monday,0,January,Week 2,Monday2,0.0
2018-01-08,00:00:00.0,Other,,,,,Income,2018,January 2018,Week 2 2018,Monday,0,January,Week 2,Monday2,0.0
2018-01-08,00:10:00.0,Coffee,,,9.26,,Expense,2018,January 2018,Week 2 2018,Monday,0,January,Week 2,Monday2,9.26
2018-01-08,00:23:00.0,Coffee,,,7.97,,Expense,2018,January 2018,Week 2 2018,Monday,0,January,Week 2,Monday2,7.97
2018-01-08,00:51:00.0,Coffee,,,7.95,,Expense,2018,January 2018,Week 2 2018,Monday,0,January,Week 2,Monday2,7.95
2018-01-09,00:00:00.0,Coffee,,,,,Expense,2018,January 2018,Week 2 2018,Tuesday,0,January,Week 2,Tuesday2,0.0
2018-01-09,00:00:00.0,Food,,,,,Expense,2018,January 2018,Week 2 2018,Tuesday,0,January,Week 2,Tuesday2,0.0
2018-01-09,00:00:00.0,Public Transport,,,,,Expense,2018,January 2018,Week 2 2018,Tuesday,0,January,Week 2,Tuesday2,0.0
2018-01-09,00:00:00.0,Rent,,,,,Expense,2018,January 2018,Week 2 2018,Tuesday,0,January,Week 2,Tuesday2,0.0
2018-01-09,00:00:00.0,Utilities,,,,,Expense,2018,January 2018,Week 2 2018,Tuesday,0,January,Week 2,Tuesday2,0.0
2018-01-09,00:00:00.0,Clothing,,,,,Expense,2018,January 2018,Week 2 2018,Tuesday,0,January,Week 2,Tuesday2,0.0
2018-01-09,00:00:00.0,Holiday,,,,,Expense,2018,January 2018,Week 2 2018,Tuesday,0,January,Week 2,Tuesday2,0.0
2018-01-09,00:00:00.0,Technology,,,,,Expense,2018,January 2018,Week 2 2018,Tuesday,0,January,Week 2,Tuesday2,0.0
2018-01-09,00:00:00.0,Salary,,,,,Income,2018,January 2018,Week 2 2018,Tuesday,0,January,Week 2,Tuesday2,0.0
2018-01-09,00:00:00.0,Dividends,,,,,Income,2018,January 2018,Week 2 2018,Tuesday,0,January,Week 2,Tuesday2,0.0
2018-01-09,00:00:00.0,Gifts,,,,,Income,2018,January 2018,Week 2 2018,Tuesday,0,January,Week 2,Tuesday2,0.0
2018-01-09,00:00:00.0,Other,,,,,Income,2018,January 2018,Week 2 2018,Tuesday,0,January,Week 2,Tuesday2,0.0
2018-01-10,00:00:00.0,Coffee,,,,,Expense,2018,January 2018,Week 2 2018,Wednesday,0,January,Week 2,Wednesday2,0.0
2018-01-10,00:00:00.0,Public Transport,,,,,Expense,2018,January 2018,Week 2 2018,Wednesday,0,January,Week 2,Wednesday2,0.0
2018-01-10,00:00:00.0,Rent,,,,,Expense,2018,January 2018,Week 2 2018,Wednesday,0,January,Week 2,Wednesday2,0.0
2018-01-10,00:00:00.0,Utilities,,,,,Expense,2018,January 2018,Week 2 2018,Wednesday,0,January,Week 2,Wednesday2,0.0
2018-01-10,00:00:00.0,Clothing,,,,,Expense,2018,January 2018,Week 2 2018,Wednesday,0,January,Week 2,Wednesday2,0.0
2018-01-10,00:00:00.0,Holiday,,,,,Expense,2018,January 2018,Week 2 2018,Wednesday,0,January,Week 2,Wednesday2,0.0
2018-01-10,00:00:00.0,Technology,,,,,Expense,2018,January 2018,Week 2 2018,Wednesday,0,January,Week 2,Wednesday2,0.0
2018-01-10,00:00:00.0,Salary,,,,,Income,2018,January 2018,Week 2 2018,Wednesday,0,January,Week 2,Wednesday2,0.0
2018-01-10,00:00:00.0,Dividends,,,,,Income,2018,January 2018,Week 2 2018,Wednesday,0,January,Week 2,Wednesday2,0.0
2018-01-10,00:00:00.0,Gifts,,,,,Income,2018,January 2018,Week 2 2018,Wednesday,0,January,Week 2,Wednesday2,0.0
2018-01-10,00:00:00.0,Other,,,,,Income,2018,January 2018,Week 2 2018,Wednesday,0,January,Week 2,Wednesday2,0.0
2018-01-10,00:14:00.0,Food,,,175.98,,Expense,2018,January 2018,Week 2 2018,Wednesday,0,January,Week 2,Wednesday2,175.98
2018-01-11,00:00:00.0,Coffee,,,,,Expense,2018,January 2018,Week 2 2018,Thursday,0,January,Week 2,Thursday2,0.0
2018-01-11,00:00:00.0,Food,,,,,Expense,2018,January 2018,Week 2 2018,Thursday,0,January,Week 2,Thursday2,0.0
2018-01-11,00:00:00.0,Public Transport,,,,,Expense,2018,January 2018,Week 2 2018,Thursday,0,January,Week 2,Thursday2,0.0
2018-01-11,00:00:00.0,Rent,,,,,Expense,2018,January 2018,Week 2 2018,Thursday,0,January,Week 2,Thursday2,0.0
2018-01-11,00:00:00.0,Utilities,,,,,Expense,2018,January 2018,Week 2 2018,Thursday,0,January,Week 2,Thursday2,0.0
2018-01-11,00:00:00.0,Clothing,,,,,Expense,2018,January 2018,Week 2 2018,Thursday,0,January,Week 2,Thursday2,0.0
2018-01-11,00:00:00.0,Holiday,,,,,Expense,2018,January 2018,Week 2 2018,Thursday,0,January,Week 2,Thursday2,0.0
2018-01-11,00:00:00.0,Technology,,,,,Expense,2018,January 2018,Week 2 2018,Thursday,0,January,Week 2,Thursday2,0.0
2018-01-11,00:00:00.0,Salary,,,,,Income,2018,January 2018,Week 2 2018,Thursday,0,January,Week 2,Thursday2,0.0
2018-01-11,00:00:00.0,Dividends,,,,,Income,2018,January 2018,Week 2 2018,Thursday,0,January,Week 2,Thursday2,0.0
2018-01-11,00:00:00.0,Gifts,,,,,Income,2018,January 2018,Week 2 2018,Thursday,0,January,Week 2,Thursday2,0.0
2018-01-11,00:00:00.0,Other,,,,,Income,2018,January 2018,Week 2 2018,Thursday,0,January,Week 2,Thursday2,0.0
2018-01-12,00:00:00.0,Food,,,,,Expense,2018,January 2018,Week 2 2018,Friday,0,January,Week 2,Friday2,0.0
2018-01-12,00:00:00.0,Public Transport,,,,,Expense,2018,January 2018,Week 2 2018,Friday,0,January,Week 2,Friday2,0.0
2018-01-12,00:00:00.0,Rent,,,,,Expense,2018,January 2018,Week 2 2018,Friday,0,January,Week 2,Friday2,0.0
2018-01-12,00:00:00.0,Utilities,,,,,Expense,2018,January 2018,Week 2 2018,Friday,0,January,Week 2,Friday2,0.0
2018-01-12,00:00:00.0,Clothing,,,,,Expense,2018,January 2018,Week 2 2018,Friday,0,January,Week 2,Friday2,0.0
2018-01-12,00:00:00.0,Holiday,,,,,Expense,2018,January 2018,Week 2 2018,Friday,0,January,Week 2,Friday2,0.0
2018-01-12,00:00:00.0,Technology,,,,,Expense,2018,January 2018,Week 2 2018,Friday,0,January,Week 2,Friday2,0.0
2018-01-12,00:00:00.0,Salary,,,,,Income,2018,January 2018,Week 2 2018,Friday,0,January,Week 2,Friday2,0.0
2018-01-12,00:00:00.0,Dividends,,,,,Income,2018,January 2018,Week 2 2018,Friday,0,January,Week 2,Friday2,0.0
2018-01-12,00:00:00.0,Gifts,,,,,Income,2018,January 2018,Week 2 2018,Friday,0,January,Week 2,Friday2,0.0
2018-01-12,00:00:00.0,Other,,,,,Income,2018,January 2018,Week 2 2018,Friday,0,January,Week 2,Friday2,0.0
2018-01-12,00:02:00.0,Coffee,,,3.94,,Expense,2018,January 2018,Week 2 2018,Friday,0,January,Week 2,Friday2,3.94
2018-01-12,00:25:00.0,Coffee,,,6.85,,Expense,2018,January 2018,Week 2 2018,Friday,0,January,Week 2,Friday2,6.85
2018-01-12,00:45:00.0,Coffee,,,10.21,,Expense,2018,January 2018,Week 2 2018,Friday,0,January,Week 2,Friday2,10.21
2018-01-13,00:00:00.0,Coffee,,,,,Expense,2018,January 2018,Week 2 2018,Saturday,0,January,Week 2,Saturday2,0.0
2018-01-13,00:00:00.0,Food,,,,,Expense,2018,January 2018,Week 2 2018,Saturday,0,January,Week 2,Saturday2,0.0
2018-01-13,00:00:00.0,Public Transport,,,,,Expense,2018,January 2018,Week 2 2018,Saturday,0,January,Week 2,Saturday2,0.0
2018-01-13,00:00:00.0,Rent,,,,,Expense,2018,January 2018,Week 2 2018,Saturday,0,January,Week 2,Saturday2,0.0
2018-01-13,00:00:00.0,Utilities,,,,,Expense,2018,January 2018,Week 2 2018,Saturday,0,January,Week 2,Saturday2,0.0
2018-01-13,00:00:00.0,Clothing,,,,,Expense,2018,January 2018,Week 2 2018,Saturday,0,January,Week 2,Saturday2,0.0
2018-01-13,00:00:00.0,Holiday,,,,,Expense,2018,January 2018,Week 2 2018,Saturday,0,January,Week 2,Saturday2,0.0
2018-01-13,00:00:00.0,Technology,,,,,Expense,2018,January 2018,Week 2 2018,Saturday,0,January,Week 2,Saturday2,0.0
2018-01-13,00:00:00.0,Salary,,,,,Income,2018,January 2018,Week 2 2018,Saturday,0,January,Week 2,Saturday2,0.0
2018-01-13,00:00:00.0,Dividends,,,,,Income,2018,January 2018,Week 2 2018,Saturday,0,January,Week 2,Saturday2,0.0
2018-01-13,00:00:00.0,Gifts,,,,,Income,2018,January 2018,Week 2 2018,Saturday,0,January,Week 2,Saturday2,0.0
2018-01-13,00:00:00.0,Other,,,,,Income,2018,January 2018,Week 2 2018,Saturday,0,January,Week 2,Saturday2,0.0
2018-01-14,00:00:00.0,Coffee,,,,,Expense,2018,January 2018,Week 2 2018,Sunday,0,January,Week 2,Sunday2,0.0
2018-01-14,00:00:00.0,Food,,,,,Expense,2018,January 2018,Week 2 2018,Sunday,0,January,Week 2,Sunday2,0.0
2018-01-14,00:00:00.0,Public Transport,,,,,Expense,2018,January 2018,Week 2 2018,Sunday,0,January,Week 2,Sunday2,0.0
2018-01-14,00:00:00.0,Rent,,,,,Expense,2018,January 2018,Week 2 2018,Sunday,0,January,Week 2,Sunday2,0.0
2018-01-14,00:00:00.0,Utilities,,,,,Expense,2018,January 2018,Week 2 2018,Sunday,0,January,Week 2,Sunday2,0.0
2018-01-14,00:00:00.0,Clothing,,,,,Expense,2018,January 2018,Week 2 2018,Sunday,0,January,Week 2,Sunday2,0.0
2018-01-14,00:00:00.0,Holiday,,,,,Expense,2018,January 2018,Week 2 2018,Sunday,0,January,Week 2,Sunday2,0.0
2018-01-14,00:00:00.0,Technology,,,,,Expense,2018,January 2018,Week 2 2018,Sunday,0,January,Week 2,Sunday2,0.0
2018-01-14,00:00:00.0,Salary,,,,,Income,2018,January 2018,Week 2 2018,Sunday,0,January,Week 2,Sunday2,0.0
2018-01-14,00:00:00.0,Dividends,,,,,Income,2018,January 2018,Week 2 2018,Sunday,0,January,Week 2,Sunday2,0.0
2018-01-14,00:00:00.0,Gifts,,,,,Income,2018,January 2018,Week 2 2018,Sunday,0,January,Week 2,Sunday2,0.0
2018-01-14,00:00:00.0,Other,,,,,Income,2018,January 2018,Week 2 2018,Sunday,0,January,Week 2,Sunday2,0.0
2018-01-15,00:00:00.0,Coffee,,,,,Expense,2018,January 2018,Week 3 2018,Monday,0,January,Week 3,Monday3,0.0
2018-01-15,00:00:00.0,Food,,,,,Expense,2018,January 2018,Week 3 2018,Monday,0,January,Week 3,Monday3,0.0
2018-01-15,00:00:00.0,Public Transport,,,,,Expense,2018,January 2018,Week 3 2018,Monday,0,January,Week 3,Monday3,0.0
2018-01-15,00:00:00.0,Rent,,,,,Expense,2018,January 2018,Week 3 2018,Monday,0,January,Week 3,Monday3,0.0
2018-01-15,00:00:00.0,Utilities,,,,,Expense,2018,January 2018,Week 3 2018,Monday,0,January,Week 3,Monday3,0.0
2018-01-15,00:00:00.0,Clothing,,,,,Expense,2018,January 2018,Week 3 2018,Monday,0,January,Week 3,Monday3,0.0
2018-01-15,00:00:00.0,Holiday,,,,,Expense,2018,January 2018,Week 3 2018,Monday,0,January,Week 3,Monday3,0.0
2018-01-15,00:00:00.0,Technology,,,,,Expense,2018,January 2018,Week 3 2018,Monday,0,January,Week 3,Monday3,0.0
2018-01-15,00:00:00.0,Salary,,,,,Income,2018,January 2018,Week 3 2018,Monday,0,January,Week 3,Monday3,0.0
2018-01-15,00:00:00.0,Dividends,,,,,Income,2018,January 2018,Week 3 2018,Monday,0,January,Week 3,Monday3,0.0
2018-01-15,00:00:00.0,Gifts,,,,,Income,2018,January 2018,Week 3 2018,Monday,0,January,Week 3,Monday3,0.0
2018-01-15,00:00:00.0,Other,,,,,Income,2018,January 2018,Week 3 2018,Monday,0,January,Week 3,Monday3,0.0
2018-01-16,00:00:00.0,Food,,,,,Expense,2018,January 2018,Week 3 2018,Tuesday,0,January,Week 3,Tuesday3,0.0
2018-01-16,00:00:00.0,Public Transport,,,,,Expense,2018,January 2018,Week 3 2018,Tuesday,0,January,Week 3,Tuesday3,0.0
2018-01-16,00:00:00.0,Rent,,,,,Expense,2018,January 2018,Week 3 2018,Tuesday,0,January,Week 3,Tuesday3,0.0
2018-01-16,00:00:00.0,Utilities,,,,,Expense,2018,January 2018,Week 3 2018,Tuesday,0,January,Week 3,Tuesday3,0.0
2018-01-16,00:00:00.0,Clothing,,,,,Expense,2018,January 2018,Week 3 2018,Tuesday,0,January,Week 3,Tuesday3,0.0
2018-01-16,00:00:00.0,Holiday,,,,,Expense,2018,January 2018,Week 3 2018,Tuesday,0,January,Week 3,Tuesday3,0.0
2018-01-16,00:00:00.0,Technology,,,,,Expense,2018,January 2018,Week 3 2018,Tuesday,0,January,Week 3,Tuesday3,0.0
2018-01-16,00:00:00.0,Salary,,,,,Income,2018,January 2018,Week 3 2018,Tuesday,0,January,Week 3,Tuesday3,0.0
2018-01-16,00:00:00.0,Dividends,,,,,Income,2018,January 2018,Week 3 2018,Tuesday,0,January,Week 3,Tuesday3,0.0
2018-01-16,00:00:00.0,Gifts,,,,,Income,2018,January 2018,Week 3 2018,Tuesday,0,January,Week 3,Tuesday3,0.0
2018-01-16,00:00:00.0,Other,,,,,Income,2018,January 2018,Week 3 2018,Tuesday,0,January,Week 3,Tuesday3,0.0
2018-01-16,00:35:00.0,Coffee,,,11.11,,Expense,2018,January 2018,Week 3 2018,Tuesday,0,January,Week 3,Tuesday3,11.11
2018-01-17,00:00:00.0,Coffee,,,,,Expense,2018,January 2018,Week 3 2018,Wednesday,0,January,Week 3,Wednesday3,0.0
2018-01-17,00:00:00.0,Food,,,,,Expense,2018,January 2018,Week 3 2018,Wednesday,0,January,Week 3,Wednesday3,0.0
2018-01-17,00:00:00.0,Public Transport,,,,,Expense,2018,January 2018,Week 3 2018,Wednesday,0,January,Week 3,Wednesday3,0.0
2018-01-17,00:00:00.0,Rent,,,,,Expense,2018,January 2018,Week 3 2018,Wednesday,0,January,Week 3,Wednesday3,0.0
2018-01-17,00:00:00.0,Utilities,,,,,Expense,2018,January 2018,Week 3 2018,Wednesday,0,January,Week 3,Wednesday3,0.0
2018-01-17,00:00:00.0,Clothing,,,,,Expense,2018,January 2018,Week 3 2018,Wednesday,0,January,Week 3,Wednesday3,0.0
